English Value,Arabic Value
About,عن الشركة
Accepts Offers,قبول العرض
Account,الحساب
Account Details,تفاصيل الحساب
Active,فعّال
Additional Documents,مستندات إضافية
Address,العنوان
Address 1,عنوان أول
Address 2,عنوان ثاني
Address type,نوع العنوان
<span>Add</span> Address,<span>إضافة</span> عنوان
You have not added any address yet. <a href= :attribute >Click here</a>&nbsp; to add address.,يرجى إضافة العنوان، لم يتم إضافة عنوان بعد <a href= :attribute> اضغط هنا  </a>&nbsp; لإضافة العنوان.
Add Balance,إضافة رصيد للحساب
<span>Add</span> Credit Card,<span>إضافة</span> بطاقة إئتمان
Add new Adress,إضافة عنوان جديد
Add to watchlist,إضافة إلى المشاهدة
Add to watch list,إضافة إلى المشاهدة
All,الكل
All Listings,القوائم
All Rights Reserved,جميع الحقوق محفوظة
Amount,المبلغ
Area,المنطقة
Are you sure want to remove address?,تأكيد حـذف العنوان؟
Are you sure want to remove credit card?,تأكيد حـذف بطاقة الإئتمان؟
Are you sure want to remove item?,تأكيد حذف هذا المنتج؟
Are you sure want to set as primary address ?,تثبيت العنوان كعنوان رئيسي؟
Are you sure want to set as primary  credit card ?,تثبيت بطاقة الإئتمان الرئيسية؟
Auction,مزاد
Auctions Id,رمز المزاد
Auctions,مزادات
Back,الرجوع
Back to login?,الرجوع لتسجيل الدخول؟
Balance,الرصيد
Balance type id,رمز نوع الرصيد
Bank account name,اسم الحساب البنكي
Bank account number,رقم الحساب البنكي
Bank address,عنوان البنك
Bank name,اسم البنك
Bank Transfer,تحويل بنكي
Banners,مساحات
BestSeller,الأكثر مبيعاً
Best Offer,أفضل العروض
Bid,مُزايدة
Bid(s),مزايدات
Bid Amount,مبلغ المُزايدة
Bid History,تاريخ المُزايدة
Bid History not found,لم يتم العثور على تاريخ المُزايدة
Bid Now,زاود الآن
Bid Type,نوع المزاودة
Billing Address,تفاصيل عنوان الفواتير
Browse File,بحث
Buyer,المشتري
Buyer Id,رمز المشتري
Buyer Information,معلومات المشتري
Buyer Name,اسم المشتري
Buying Format,طريقة الشراء
Buy It Now,اشتري الآن
Buy Now,اشتري الآن
Buy Price,سعر الشراء
Cancel,إلغاء
Card Number,رقم البطاقة
Categories,الأقسام
Category,قسم
Change Password,تغيير كلمة المرور
<span>Change </span> Password,<span>تغيير</span> كلمة المرور
Checkout,الدفع
Cheque date,تاريخ الشيك
Cheque No,رقم الشيك
Cheque number,رقم الشيك
City,المدينة
CMS Page,صفحة إدارة المحتوى
Coming Soon !!,قريبا
Comment,تعليق
Commission,عمولة
Commission VAT,ضريبة العمولة
Completed,تم
Condition,شرط
Confirm,تأكيد
Confirmation,تأكيد
Confirm and pay,التأكيد والدفع
Confirm password,تأكيد كلمة المرور
Confirm your buy of,تأكيد الشراء
Contact,الإتصال
<span>Contact </span> Seller,<span>التواصل</span> مع البائع
Contact US,تواصل معنا
<span>CONTACT </span> INFO,معلومات <span>الإتصال</span>
Copyright,حقوق النشر
Country,البلد
Country or Region,البلد أو المنطقة
Create Date,إنشاء تاريخ
Credit Card,بطاقة ائتمان
Creditcards,بطاقات الإئتمان
Credit or Debit Card,بطاقة الإئتمان أو بطاقة البنك
Currency Code,رمز العملة
Current Address,العنوان الحالي
Current Balance,الرصيد الحالي
Current Bid,المزاودة 
Current Bid Price,سعر المزاد الحالي
Current  Password,كلمة المرور الحالية
Current Price,السعر الحالي
Customer,العميل
Customer id,رمز العميل
CVV,رمز البطاقة السري CVV
Dashboard,اللوحة الرئيسية
Date,التاريخ
Date/Time,التاريخ/الوقت
Deals,العروض
Do you want to deduct wallet balance?,هل تريد الخصم من المحفظة؟
Delete,حذف
Delivery,التوصيل
Deposit,التأمين
Deposit Amount,مبلغ التأمين
Deposit number,رقم التأمين
Description,التفاصيل
Detail,معلومات أكثر
Device model,موديل الجهاز
Device name,اسم الجهاز
Device no,رقم الجهاز
Device platform,برنامج الجهاز
Device type,نوع الجهاز
Device UUID,رمز الجهاز UUID
Device version,إصدار الجهاز
Birthdate,تاريخ الميلاد
Done,تم
Draft,مسودّة
Edit,تعديل
<span>Edit</span> Address,<span>تعديل</span> العنوان
<span>Edit</span> Credit Card,<span>تعديل</span> بطاقة الإئتمان
Edit Profile,<span>تعديل الملف الشخصي
<span>Edit </span> profile,<span>تعديل</span> الملف الشخصي
Email,العنوان البريدي
Email or Mobile,العنوان البريدي أو رقم الجوال
Ending Soon,ينتهي قريباً
Ends in,ينتهي خلال
End Date/Time,ينتهي بتاريخ/الوقت
Enter Bid Amount,ادخل مبلغ المُزايدة
Please enter amount greater than 0.,الرجاء ادخال مبلغ أكبر من صفر
Enter proxy bid amount,ادخل مبلغ المُزايدة الآلي
Enter shipping address,ادخل تفاصيل عنوان الشحن
Enter the name of your card,ادخل الإسم على البطاقة
Enter valid bid amount,الرجاء ادخال مبلغ مزايدة صحيح
Enter valid proxy bid amount,الرجاء ادخال مبلغ مزايدة آلية صحيح
Enter your email,ادخل العنوان البريدي
Error,خطأ
Expiry Date,تاريخ الإنتهاء
Feedback,ملاحظات
Feedback For,ملاحظات بشأن
Filter,فلتر
Final Price,السعر النهائي
First name,الإسم الأول
Fixed Price,السعر المثبت
Forgot password,نسيت كلمة المرور
<span>Forgot </span> password,<span>نسيت</span> كلمة المرور
Forgot your password?,نسيت كلمة المرور؟
From,من
Gender,الجنس
